Company Name,Industry,Symbol,Series,ISIN Code,Ticker
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,GODFRYPHLP.NS
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014,GODREJAGRO.NS
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020,GRANULES.NS
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025,GRAPHITE.NS
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032,GESHIP.NS
Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL,EQ,INE08ZM01014,GREENPANEL.NS
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI,EQ,INE186A01019,GUJALKALI.NS
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,EQ,INE036B01030,GAEL.NS
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013,GNFC.NS
Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014,GPPL.NS
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC,EQ,INE026A01025,GSFC.NS
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01016,HEG.NS
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028,HFCL.NS
HLE Glascoat Ltd.,Capital Goods,HLEGLAS,EQ,INE461D01028,HLEGLAS.NS
Hikal Ltd.,Healthcare,HIKAL,EQ,INE475B01022,HIKAL.NS
Hinduja Global Solutions Ltd.,Services,HGS,EQ,INE170I01016,HGS.NS
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,HINDCOPPER.NS
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,POWERINDIA.NS
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,HOMEFIRST.NS
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,HUDCO.NS
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,IDBI.NS
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016,IDFC.NS
IFB Industries Ltd.,Consumer Durables,IFBIND,EQ,INE559A01017,IFBIND.NS
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,IIFL.NS
IIFL Wealth Management Ltd.,Financial Services,IIFLWAM,EQ,INE466L01020,IIFLWAM.NS
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01014,IRB.NS
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,ITI.NS
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,INDIACEM.NS
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN,EQ,INE148I01020,IBULHSGFIN.NS
Indiabulls Real Estate Ltd.,Realty,IBREALEST,EQ,INE069I01010,IBREALEST.NS
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,IOB.NS
Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS,EQ,INE09VQ01012,INDIGOPNTS.NS
Indoco Remedies Ltd.,Healthcare,INDOCO,EQ,INE873D01024,INDOCO.NS
Infibeam Avenues Ltd.,Financial Services,INFIBEAM,EQ,INE483S01020,INFIBEAM.NS
Inox Leisure Ltd.,Media Entertainment & Publication,INOXLEISUR,EQ,INE312H01016,INOXLEISUR.NS
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,INTELLECT.NS
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01028,JBCHEPHARM.NS
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044,JBMA.NS
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032,JKLAKSHMI.NS
JK Paper Ltd.,Forest Materials,JKPAPER,EQ,INE789E01012,JKPAPER.NS
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023,JMFINANCIL.NS
Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO,EQ,INE039C01032,JAMNAAUTO.NS
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,JSL.NS
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018,JUBLINGREA.NS
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033,JUBLPHARMA.NS
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018,JUSTDIAL.NS
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031,JYOTHYLAB.NS
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,KEI.NS
KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029,KNRCON.NS
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,KPITTECH.NS
KRBL Ltd.,Fast Moving Consumer Goods,KRBL,EQ,INE001B01026,KRBL.NS
Kalpataru Power Transmission Ltd.,Construction,KALPATPOWR,EQ,INE220B01022,KALPATPOWR.NS
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,KALYANKJIL.NS
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,KARURVYSYA.NS
Kec International Ltd.,Capital Goods,KEC,EQ,INE389H01022,KEC.NS
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01017,KIMS.NS
Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH,EQ,INE269B01029,LAXMIMACH.NS
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011,LATENTVIEW.NS
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM,EQ,INE576O01020,LXCHEM.NS
Lux Industries Ltd.,Textiles,LUXIND,EQ,INE150G01020,LUXIND.NS
MMTC Ltd.,Services,MMTC,EQ,INE123F01029,MMTC.NS
MOIL Ltd.,Metals & Mining,MOIL,EQ,INE490G01020,MOIL.NS
MTAR Technologies Ltd.,Capital Goods,MTARTECH,EQ,INE864I01014,MTARTECH.NS
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010,MGL.NS
Mahindra CIE Automotive Ltd.,Automobile and Auto Components,MAHINDCIE,EQ,INE536H01010,MAHINDCIE.NS
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL,EQ,INE998I01010,MHRIL.NS
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,EQ,INE813A01018,MAHLIFE.NS
Mahindra Logistics Ltd.,Services,MAHLOG,EQ,INE766P01016,MAHLOG.NS
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014,MRPL.NS
Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021,MASTEK.NS
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012,MAZDOCK.NS
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,INE804L01022,MEDPLUS.NS
Metro Brands Ltd.,Consumer Durables,METROBRAND,EQ,INE317I01021,METROBRAND.NS
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020,METROPOLIS.NS
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,MOTILALOFS.NS
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035,MCX.NS
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,NBCC.NS
NCC Ltd.,Construction,NCC,EQ,INE868B01028,NCC.NS
NIIT Ltd.,Consumer Services,NIITLTD,EQ,INE161A01038,NIITLTD.NS
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,NLCINDIA.NS
NOCIL Ltd.,Chemicals,NOCIL,EQ,INE163A01018,NOCIL.NS
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,NH.NS
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,EQ,INE418L01021,NAZARA.NS
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013,NETWORK18.NS
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016,NUVOCO.NS
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016,OLECTRA.NS
Orient Electric Ltd.,Consumer Durables,ORIENTELEC,EQ,INE142Z01019,ORIENTELEC.NS
PCBL Ltd.,Chemicals,PCBL,EQ,INE602A01031,PCBL.NS
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,PNBHOUSING.NS
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029,PNCINFRA.NS
PVR Ltd.,Media Entertainment & Publication,PVR,EQ,INE191H01014,PVR.NS
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021,POLYMED.NS
Polyplex Corporation Ltd.,Capital Goods,POLYPLEX,EQ,INE633B01018,POLYPLEX.NS
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025,PRAJIND.NS
Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE,EQ,INE689W01016,PRINCEPIPE.NS
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,EQ,INE010A01011,PRSMJOHNSN.NS
Privi Speciality Chemicals Ltd.,Chemicals,PRIVISCL,EQ,INE959A01019,PRIVISCL.NS
Procter & Gamble Health Ltd.,Healthcare,PGHL,EQ,INE199A01012,PGHL.NS
Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015,QUESS.NS
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,RBLBANK.NS
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012,RHIM.NS
RITES Ltd.,Construction,RITES,EQ,INE320J01015,RITES.NS
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,RADICO.NS
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,RVNL.NS
Rain Industries Ltd,Chemicals,RAIN,EQ,INE855B01025,RAIN.NS
Rallis India Ltd.,Chemicals,RALLIS,EQ,INE613A01020,RALLIS.NS
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015,RCF.NS
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI,EQ,INE703B01027,RATNAMANI.NS
RattanIndia Enterprises Ltd.,Services,RTNINDIA,EQ,INE834M01019,RTNINDIA.NS
Raymond Ltd.,Textiles,RAYMOND,EQ,INE301A01014,RAYMOND.NS
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,REDINGTON.NS
Restaurant Brands Asia Ltd.,Consumer Services,RBA,EQ,INE07T201019,RBA.NS
Rossari Biotech Ltd.,Chemicals,ROSSARI,EQ,INE02A801020,ROSSARI.NS
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017,ROUTE.NS
SIS Ltd.,Services,SIS,EQ,INE285J01028,SIS.NS
SJVN Ltd.,Power,SJVN,EQ,INE002L01015,SJVN.NS
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01012,SAPPHIRE.NS
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025,SAREGAMA.NS
Sharda Cropchem Ltd.,Chemicals,SHARDACROP,EQ,INE221J01015,SHARDACROP.NS
Sheela Foam Ltd.,Consumer Durables,SFL,EQ,INE916U01025,SFL.NS
Shilpa Medicare Ltd.,Healthcare,SHILPAMED,EQ,INE790G01031,SHILPAMED.NS
Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011,SCI.NS
Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP,EQ,INE498B01024,SHOPERSTOP.NS
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022,RENUKA.NS
Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL,EQ,INE810G01011,SHYAMMETL.NS
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015,SOBHA.NS
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021,SONATSOFTW.NS
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021,SWSOLAR.NS
Sterlite Technologies Ltd.,Telecommunication,STLTECH,EQ,INE089C01029,STLTECH.NS
Sudarshan Chemical Industries Ltd.,Chemicals,SUDARSCHEM,EQ,INE659A01023,SUDARSCHEM.NS
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,EQ,INE232I01014,SPARC.NS
Sunteck Realty Ltd.,Realty,SUNTECK,EQ,INE805D01034,SUNTECK.NS
Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT,EQ,INE399C01030,SUPRAJIT.NS
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,EQ,INE03QK01018,SUVENPHAR.NS
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,SUZLON.NS
Swan Energy Ltd.,Textiles,SWANENERGY,EQ,INE665A01038,SWANENERGY.NS
Symphony Ltd.,Consumer Durables,SYMPHONY,EQ,INE225D01027,SYMPHONY.NS
TCI Express Ltd.,Services,TCIEXP,EQ,INE586V01016,TCIEXP.NS
TCNS Clothing Co. Ltd.,Textiles,TCNSBRANDS,EQ,INE778U01029,TCNSBRANDS.NS
TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG,EQ,INE690A01028,TTKPRESTIG.NS
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,EQ,INE886H01027,TV18BRDCST.NS
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032,TANLA.NS
Tata Coffee Ltd.,Fast Moving Consumer Goods,TATACOFFEE,EQ,INE493A01027,TATACOFFEE.NS
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01018,TATAINVEST.NS
Teamlease Services Ltd.,Services,TEAMLEASE,EQ,INE985S01024,TEAMLEASE.NS
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012,TEJASNET.NS
Thyrocare Technologies Ltd.,Healthcare,THYROCARE,EQ,INE594H01019,THYROCARE.NS
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013,TIMKEN.NS
Transport Corporation of India Ltd.,Services,TCI,EQ,INE688A01022,TCI.NS
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024,TRIVENI.NS
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016,TRITURBINE.NS
UFLEX Ltd.,Capital Goods,UFLEX,EQ,INE516A01017,UFLEX.NS
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016,UTIAMC.NS
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027,VGUARD.NS
V-Mart Retail Ltd.,Consumer Services,VMART,EQ,INE665J01013,VMART.NS
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027,VIPIND.NS
Vaibhav Global Ltd.,Consumer Services,VAIBHAVGBL,EQ,INE884A01027,VAIBHAVGBL.NS
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020,VTL.NS
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,EQ,INE665L01035,VARROC.NS
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024,VIJAYA.NS
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,WELCORP.NS
Welspun India Ltd.,Textiles,WELSPUNIND,EQ,INE192B01031,WELSPUNIND.NS
Westlife Development Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020,WESTLIFE.NS
Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025,WOCKPHARMA.NS
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027,ZENSARTECH.NS
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL,EQ,INE768C01010,ZYDUSWELL.NS
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010,ECLERX.NS
